# t X Y Z X_set Y_set Z_set
48.383000 17.152205 21.939991 2.956674 0.000000 0.000000 3.000000
48.384000 17.147390 21.939981 2.956681 0.000000 0.000000 3.000000
48.385000 17.142578 21.939974 2.956687 0.000000 0.000000 3.000000
48.386000 17.137764 21.939966 2.956693 0.000000 0.000000 3.000000
48.387000 17.132950 21.939957 2.956699 0.000000 0.000000 3.000000
48.388000 17.128138 21.939949 2.956706 0.000000 0.000000 3.000000
48.389000 17.123325 21.939939 2.956712 0.000000 0.000000 3.000000
48.390000 17.118513 21.939932 2.956718 0.000000 0.000000 3.000000
48.391000 17.113701 21.939924 2.956724 0.000000 0.000000 3.000000
48.392000 17.108891 21.939915 2.956731 0.000000 0.000000 3.000000
48.393000 17.104080 21.939907 2.956737 0.000000 0.000000 3.000000
48.394000 17.099268 21.939899 2.956743 0.000000 0.000000 3.000000
48.395000 17.094460 21.939890 2.956750 0.000000 0.000000 3.000000
48.396000 17.089649 21.939882 2.956756 0.000000 0.000000 3.000000
48.397000 17.084839 21.939873 2.956762 0.000000 0.000000 3.000000
48.398000 17.080030 21.939865 2.956769 0.000000 0.000000 3.000000
48.399000 17.075222 21.939856 2.956775 0.000000 0.000000 3.000000
48.400000 17.070414 21.939848 2.956781 0.000000 0.000000 3.000000
48.401000 17.065605 21.939840 2.956788 0.000000 0.000000 3.000000
48.402000 17.060797 21.939831 2.956794 0.000000 0.000000 3.000000
48.403000 17.055990 21.939823 2.956801 0.000000 0.000000 3.000000
48.404000 17.051182 21.939814 2.956807 0.000000 0.000000 3.000000
48.405000 17.046375 21.939806 2.956814 0.000000 0.000000 3.000000
48.406000 17.041569 21.939796 2.956820 0.000000 0.000000 3.000000
48.407000 17.036764 21.939789 2.956826 0.000000 0.000000 3.000000
48.408000 17.031958 21.939781 2.956833 0.000000 0.000000 3.000000
48.409000 17.027153 21.939772 2.956839 0.000000 0.000000 3.000000
48.410000 17.022348 21.939764 2.956846 0.000000 0.000000 3.000000
48.411000 17.017544 21.939754 2.956852 0.000000 0.000000 3.000000
48.412000 17.012739 21.939747 2.956859 0.000000 0.000000 3.000000
48.413000 17.007936 21.939737 2.956865 0.000000 0.000000 3.000000
48.414000 17.003132 21.939730 2.956872 0.000000 0.000000 3.000000
48.415000 16.998329 21.939720 2.956878 0.000000 0.000000 3.000000
48.416000 16.993526 21.939713 2.956885 0.000000 0.000000 3.000000
48.417000 16.988724 21.939703 2.956891 0.000000 0.000000 3.000000
48.418000 16.983923 21.939695 2.956898 0.000000 0.000000 3.000000
48.419000 16.979120 21.939686 2.956904 0.000000 0.000000 3.000000
48.420000 16.974319 21.939678 2.956911 0.000000 0.000000 3.000000
48.421000 16.969519 21.939669 2.956917 0.000000 0.000000 3.000000
48.422000 16.964718 21.939661 2.956924 0.000000 0.000000 3.000000
48.423000 16.959919 21.939651 2.956930 0.000000 0.000000 3.000000
48.424000 16.955118 21.939644 2.956937 0.000000 0.000000 3.000000
48.425000 16.950319 21.939634 2.956944 0.000000 0.000000 3.000000
48.426000 16.945520 21.939627 2.956950 0.000000 0.000000 3.000000
48.427000 16.940722 21.939617 2.956956 0.000000 0.000000 3.000000
48.428000 16.935923 21.939610 2.956963 0.000000 0.000000 3.000000
48.429000 16.931126 21.939600 2.956969 0.000000 0.000000 3.000000
48.430000 16.926327 21.939592 2.956976 0.000000 0.000000 3.000000
48.431000 16.921530 21.939583 2.956983 0.000000 0.000000 3.000000
48.432000 16.916733 21.939575 2.956989 0.000000 0.000000 3.000000
48.433000 16.911938 21.939566 2.956996 0.000000 0.000000 3.000000
48.434000 16.907141 21.939558 2.957002 0.000000 0.000000 3.000000
48.435000 16.902346 21.939548 2.957009 0.000000 0.000000 3.000000
48.436000 16.897551 21.939541 2.957015 0.000000 0.000000 3.000000
48.437000 16.892756 21.939531 2.957022 0.000000 0.000000 3.000000
48.438000 16.887960 21.939524 2.957028 0.000000 0.000000 3.000000
48.439000 16.883165 21.939514 2.957035 0.000000 0.000000 3.000000
48.440000 16.878372 21.939505 2.957042 0.000000 0.000000 3.000000
48.441000 16.873577 21.939497 2.957048 0.000000 0.000000 3.000000
48.442000 16.868784 21.939487 2.957055 0.000000 0.000000 3.000000
48.443000 16.863993 21.939480 2.957061 0.000000 0.000000 3.000000
48.444000 16.859200 21.939470 2.957068 0.000000 0.000000 3.000000
48.445000 16.854406 21.939463 2.957074 0.000000 0.000000 3.000000
48.446000 16.849615 21.939453 2.957081 0.000000 0.000000 3.000000
48.447000 16.844824 21.939444 2.957087 0.000000 0.000000 3.000000
48.448000 16.840033 21.939436 2.957094 0.000000 0.000000 3.000000
48.449000 16.835243 21.939426 2.957101 0.000000 0.000000 3.000000
48.450000 16.830452 21.939419 2.957107 0.000000 0.000000 3.000000
48.451000 16.825663 21.939409 2.957114 0.000000 0.000000 3.000000
48.452000 16.820873 21.939400 2.957120 0.000000 0.000000 3.000000
48.453000 16.816084 21.939392 2.957127 0.000000 0.000000 3.000000
48.454000 16.811295 21.939383 2.957134 0.000000 0.000000 3.000000
48.455000 16.806505 21.939373 2.957140 0.000000 0.000000 3.000000
48.456000 16.801718 21.939365 2.957147 0.000000 0.000000 3.000000
48.457000 16.796930 21.939356 2.957153 0.000000 0.000000 3.000000
48.458000 16.792143 21.939346 2.957160 0.000000 0.000000 3.000000
48.459000 16.787355 21.939339 2.957166 0.000000 0.000000 3.000000
48.460000 16.782570 21.939329 2.957173 0.000000 0.000000 3.000000
48.461000 16.777782 21.939320 2.957180 0.000000 0.000000 3.000000
48.462000 16.772997 21.939312 2.957186 0.000000 0.000000 3.000000
48.463000 16.768211 21.939302 2.957193 0.000000 0.000000 3.000000
48.464000 16.763426 21.939293 2.957199 0.000000 0.000000 3.000000
48.465000 16.758642 21.939283 2.957206 0.000000 0.000000 3.000000
48.466000 16.753857 21.939276 2.957212 0.000000 0.000000 3.000000
48.467000 16.749073 21.939266 2.957219 0.000000 0.000000 3.000000
48.468000 16.744289 21.939257 2.957226 0.000000 0.000000 3.000000
48.469000 16.739506 21.939247 2.957232 0.000000 0.000000 3.000000
48.470000 16.734722 21.939238 2.957239 0.000000 0.000000 3.000000
48.471000 16.729940 21.939230 2.957245 0.000000 0.000000 3.000000
48.472000 16.725159 21.939220 2.957252 0.000000 0.000000 3.000000
48.473000 16.720375 21.939211 2.957259 0.000000 0.000000 3.000000
48.474000 16.715595 21.939201 2.957265 0.000000 0.000000 3.000000
48.475000 16.710814 21.939192 2.957272 0.000000 0.000000 3.000000
48.476000 16.706032 21.939184 2.957278 0.000000 0.000000 3.000000
48.477000 16.701252 21.939175 2.957285 0.000000 0.000000 3.000000
48.478000 16.696472 21.939165 2.957292 0.000000 0.000000 3.000000
48.479000 16.691692 21.939156 2.957299 0.000000 0.000000 3.000000
48.480000 16.686913 21.939146 2.957305 0.000000 0.000000 3.000000
48.481000 16.682135 21.939137 2.957312 0.000000 0.000000 3.000000
48.482000 16.677357 21.939129 2.957319 0.000000 0.000000 3.000000
